[19:11:20] second args = Namespace(datapath='/devdata/hsh/datasets/seg_dataset/BraTS2018_remove0_normalize_nii_resize128/MICCAI_BraTS_2018_Data_Training', train_list='datalist/BraTS18/BraTS18_train.txt', val_list='datalist/BraTS18/BraTS18_val.txt', snapshot_dir='/devdata2/hsh/program/python/methods/CRLS-series/contrast-CLRS-release/results/BraTS2018_resize128/CLRSNet/20251004-191120__run_times1_alpha0.1_beta1.0__BraTS2018_resize128_CLRSNet', method_name='CLRSNet', dataname='BRATS2018', input_size=[128, 128, 128], num_gpus='1', local_rank=0, print_rank=0, batch_size=1, batch_size_val=1, num_workers=4, num_cls=3, num_modality=4, normalization='batchnorm', spec_normalization='batchnorm', coe_specloss=0.1, coe_consist=1.0, optim='sgd', lr_scheduler='PolyLR', learning_rate_fate=0.01, lr=0.0002, weight_decay=0.0001, num_epochs=200, iter_per_epoch=None, aux=Namespace(optim='adam', lr_scheduler='PolyLR', learning_rate_fate=0.01, lr=0.0001, weight_decay=0.0001, num_epochs=200, iter_per_epoch=None, normalization='IN'), region_fusion_start_epoch=0, resume=None, pretrain=None, seed=1024, ignore_label=255, is_training=True, random_mirror=True, random_scale=True, norm_cfg='BN', activation_cfg='LeakyReLU', train_only=False, mode='random')
[19:11:20] second cfg = {'datapath': '/devdata/hsh/datasets/seg_dataset/BraTS2018_remove0_normalize_nii_resize128/MICCAI_BraTS_2018_Data_Training', 'train_list': 'datalist/BraTS18/BraTS18_train.txt', 'val_list': 'datalist/BraTS18/BraTS18_val.txt', 'snapshot_dir': '/devdata2/hsh/program/python/methods/CRLS-series/contrast-CLRS-release/results/BraTS2018_resize128/CLRSNet/20251004-191120__run_times1_alpha0.1_beta1.0__BraTS2018_resize128_CLRSNet', 'method_name': 'CLRSNet', 'dataname': 'BRATS2018', 'input_size': [128, 128, 128], 'num_gpus': None, 'local_rank': 0, 'print_rank': 0, 'batch_size': 1, 'batch_size_val': 1, 'num_workers': 0, 'num_cls': 3, 'num_modality': 4, 'normalization': 'batchnorm', 'spec_normalization': 'batchnorm', 'coe_specloss': 0.1, 'coe_consist': 0.1, 'optim': 'sgd', 'lr_scheduler': 'PolyLR', 'learning_rate_fate': 0.01, 'lr': 0.0002, 'weight_decay': 0.0001, 'num_epochs': 200, 'iter_per_epoch': None, 'aux': {'optim': 'adam', 'lr_scheduler': 'PolyLR', 'learning_rate_fate': 0.01, 'lr': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'iter_per_epoch': None, 'normalization': 'IN'}, 'region_fusion_start_epoch': 0, 'resume': None, 'pretrain': None, 'seed': 1024, 'ignore_label': 255, 'is_training': True, 'random_mirror': True, 'random_scale': True, 'norm_cfg': 'BN', 'activation_cfg': 'LeakyReLU', 'train_only': False, 'mode': 'random'}
[19:11:21] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x715979169f30>
[19:11:21] #############training############
[19:11:24] Epoch 1/200, Iter 1/228, Total Loss 3.175143, Loss_seg 1.681444, fusecross:0.723807, fusedice:0.957637,spec_modal_loss:1.1042993068695068, spec_logit_cls_loss:1.3832695484161377, use_modality:[0, 2, 3, 1]
[19:11:24] Epoch 1/200, Iter 2/228, Total Loss 3.217422, Loss_seg 1.700791, fusecross:0.725779, fusedice:0.975012,spec_modal_loss:1.3343560695648193, spec_logit_cls_loss:1.3831956386566162, use_modality:[0, 1, 3, 2]
[19:11:24] Epoch 1/200, Iter 3/228, Total Loss 3.151757, Loss_seg 1.650912, fusecross:0.724702, fusedice:0.926210,spec_modal_loss:1.1779522895812988, spec_logit_cls_loss:1.3830496072769165, use_modality:[3, 0, 2, 1]
[19:11:24] Epoch 1/200, Iter 4/228, Total Loss 3.216222, Loss_seg 1.676400, fusecross:0.725955, fusedice:0.950445,spec_modal_loss:1.5699270963668823, spec_logit_cls_loss:1.382828950881958, use_modality:[2, 0, 3, 1]
[19:11:24] Epoch 1/200, Iter 5/228, Total Loss 3.212858, Loss_seg 1.697353, fusecross:0.724336, fusedice:0.973017,spec_modal_loss:1.3297059535980225, spec_logit_cls_loss:1.3825342655181885, use_modality:[2, 3, 1, 0]
[19:11:24] Epoch 1/200, Iter 6/228, Total Loss 3.200979, Loss_seg 1.718198, fusecross:0.721049, fusedice:0.997149,spec_modal_loss:1.006178379058838, spec_logit_cls_loss:1.3821626901626587, use_modality:[3, 1, 0, 2]
[19:11:25] Epoch 1/200, Iter 7/228, Total Loss 3.157608, Loss_seg 1.680900, fusecross:0.719480, fusedice:0.961420,spec_modal_loss:0.9498525857925415, spec_logit_cls_loss:1.3817225694656372, use_modality:[1, 0, 2, 3]
[19:11:25] Epoch 1/200, Iter 8/228, Total Loss 3.175121, Loss_seg 1.653962, fusecross:0.723926, fusedice:0.930036,spec_modal_loss:1.3994635343551636, spec_logit_cls_loss:1.3812119960784912, use_modality:[3, 2, 1, 0]
[19:11:26] Epoch 1/200, Iter 9/228, Total Loss 3.287384, Loss_seg 1.713594, fusecross:0.718922, fusedice:0.994672,spec_modal_loss:1.9315767288208008, spec_logit_cls_loss:1.380631923675537, use_modality:[0, 2, 1, 3]
[19:11:26] Epoch 1/200, Iter 10/228, Total Loss 3.193240, Loss_seg 1.687970, fusecross:0.721974, fusedice:0.965996,spec_modal_loss:1.2529293298721313, spec_logit_cls_loss:1.3799773454666138, use_modality:[2, 3, 0, 1]
[19:11:26] Epoch 1/200, Iter 11/228, Total Loss 3.178333, Loss_seg 1.674058, fusecross:0.718076, fusedice:0.955982,spec_modal_loss:1.2501566410064697, spec_logit_cls_loss:1.3792592287063599, use_modality:[1, 2, 0, 3]
[19:11:26] Epoch 1/200, Iter 12/228, Total Loss 3.192389, Loss_seg 1.698236, fusecross:0.718732, fusedice:0.979504,spec_modal_loss:1.1568328142166138, spec_logit_cls_loss:1.378469467163086, use_modality:[0, 1, 2, 3]
[19:11:27] Epoch 1/200, Iter 13/228, Total Loss 3.219598, Loss_seg 1.706599, fusecross:0.715208, fusedice:0.991391,spec_modal_loss:1.35385262966156, spec_logit_cls_loss:1.3776130676269531, use_modality:[3, 1, 2, 0]
[19:11:28] Epoch 1/200, Iter 14/228, Total Loss 3.217406, Loss_seg 1.707515, fusecross:0.717252, fusedice:0.990264,spec_modal_loss:1.3319971561431885, spec_logit_cls_loss:1.3766907453536987, use_modality:[1, 2, 0, 3]
[19:11:28] Epoch 1/200, Iter 15/228, Total Loss 3.135087, Loss_seg 1.638174, fusecross:0.710372, fusedice:0.927802,spec_modal_loss:1.2121727466583252, spec_logit_cls_loss:1.3756954669952393, use_modality:[1, 0, 2, 3]
