[19:21:30] second args = Namespace(datapath='/devdata/hsh/datasets/seg_dataset/BraTS2018_remove0_normalize_nii_resize128/MICCAI_BraTS_2018_Data_Training', train_list='datalist/BraTS18/BraTS18_train.txt', val_list='datalist/BraTS18/BraTS18_val.txt', snapshot_dir='/devdata2/hsh/program/python/methods/CRLS-series/contrast-CLRS-release/results/BraTS2018_resize128/CLRSNet/20251004-192130__run_times1_alpha0.1_beta1.0__BraTS2018_resize128_CLRSNet', method_name='CLRSNet', dataname='BRATS2018', input_size=[128, 128, 128], num_gpus='1', local_rank=0, print_rank=0, batch_size=1, batch_size_val=1, num_workers=4, num_cls=3, num_modality=4, normalization='batchnorm', spec_normalization='batchnorm', coe_specloss=0.1, coe_consist=1.0, optim='sgd', lr_scheduler='PolyLR', learning_rate_fate=0.01, lr=0.0002, weight_decay=0.0001, num_epochs=200, iter_per_epoch=None, aux=Namespace(optim='adam', lr_scheduler='PolyLR', learning_rate_fate=0.01, lr=0.0001, weight_decay=0.0001, num_epochs=200, iter_per_epoch=None, normalization='IN'), region_fusion_start_epoch=0, resume=None, pretrain=None, seed=1024, ignore_label=255, is_training=True, random_mirror=True, random_scale=True, norm_cfg='BN', activation_cfg='LeakyReLU', train_only=False, mode='random')
[19:21:30] second cfg = {'datapath': '/devdata/hsh/datasets/seg_dataset/BraTS2018_remove0_normalize_nii_resize128/MICCAI_BraTS_2018_Data_Training', 'train_list': 'datalist/BraTS18/BraTS18_train.txt', 'val_list': 'datalist/BraTS18/BraTS18_val.txt', 'snapshot_dir': '/devdata2/hsh/program/python/methods/CRLS-series/contrast-CLRS-release/results/BraTS2018_resize128/CLRSNet/20251004-192130__run_times1_alpha0.1_beta1.0__BraTS2018_resize128_CLRSNet', 'method_name': 'CLRSNet', 'dataname': 'BRATS2018', 'input_size': [128, 128, 128], 'num_gpus': None, 'local_rank': 0, 'print_rank': 0, 'batch_size': 1, 'batch_size_val': 1, 'num_workers': 0, 'num_cls': 3, 'num_modality': 4, 'normalization': 'batchnorm', 'spec_normalization': 'batchnorm', 'coe_specloss': 0.1, 'coe_consist': 0.1, 'optim': 'sgd', 'lr_scheduler': 'PolyLR', 'learning_rate_fate': 0.01, 'lr': 0.0002, 'weight_decay': 0.0001, 'num_epochs': 200, 'iter_per_epoch': None, 'aux': {'optim': 'adam', 'lr_scheduler': 'PolyLR', 'learning_rate_fate': 0.01, 'lr': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'iter_per_epoch': None, 'normalization': 'IN'}, 'region_fusion_start_epoch': 0, 'resume': None, 'pretrain': None, 'seed': 1024, 'ignore_label': 255, 'is_training': True, 'random_mirror': True, 'random_scale': True, 'norm_cfg': 'BN', 'activation_cfg': 'LeakyReLU', 'train_only': False, 'mode': 'random'}
[19:21:31] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x78d635679e70>
[19:21:31] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x78d63567aad0>
[19:21:31] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x78d63567b580>
[19:21:31] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x78d635aa80d0>
[19:21:31] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x78d635aa8be0>
[19:21:31] #############training############
[19:21:32] Epoch 1/200, Iter 1/228,Total Loss 0.824419, Loss_seg 1.686685,fusecross:0.725941, fusedice:0.960744,spec_modal_loss:1.2106027603149414 , circleloss[loss flair->t1:0.797097, loss t1->t1c:0.783651, loss t1c->t2:0.896717, loss t2->flair:0.824419, ], use_modality:[0, 2, 3, 1]
[19:21:33] Epoch 1/200, Iter 2/228,Total Loss 0.793126, Loss_seg 1.700245,fusecross:0.725245, fusedice:0.975000,spec_modal_loss:0.9910997152328491 , circleloss[loss flair->t1:0.749528, loss t1->t1c:0.743319, loss t1c->t2:0.855272, loss t2->flair:0.793126, ], use_modality:[0, 1, 3, 2]
[19:21:33] Epoch 1/200, Iter 3/228,Total Loss 0.759136, Loss_seg 1.652793,fusecross:0.724594, fusedice:0.928199,spec_modal_loss:1.1636930704116821 , circleloss[loss flair->t1:0.757211, loss t1->t1c:0.752795, loss t1c->t2:0.835387, loss t2->flair:0.759136, ], use_modality:[3, 0, 2, 1]
[19:21:34] Epoch 1/200, Iter 4/228,Total Loss 0.742246, Loss_seg 1.678163,fusecross:0.725889, fusedice:0.952274,spec_modal_loss:0.9340181946754456 , circleloss[loss flair->t1:0.731412, loss t1->t1c:0.728193, loss t1c->t2:0.827086, loss t2->flair:0.742246, ], use_modality:[2, 0, 3, 1]
[19:21:34] Epoch 1/200, Iter 5/228,Total Loss 0.728320, Loss_seg 1.698962,fusecross:0.723090, fusedice:0.975872,spec_modal_loss:1.4131072759628296 , circleloss[loss flair->t1:0.717266, loss t1->t1c:0.717726, loss t1c->t2:0.806629, loss t2->flair:0.728320, ], use_modality:[2, 3, 1, 0]
[19:21:34] Epoch 1/200, Iter 6/228,Total Loss 0.702783, Loss_seg 1.715853,fusecross:0.721362, fusedice:0.994491,spec_modal_loss:0.9233220815658569 , circleloss[loss flair->t1:0.708994, loss t1->t1c:0.706660, loss t1c->t2:0.795542, loss t2->flair:0.702783, ], use_modality:[3, 1, 0, 2]
[19:21:35] Epoch 1/200, Iter 7/228,Total Loss 0.689755, Loss_seg 1.692193,fusecross:0.721406, fusedice:0.970786,spec_modal_loss:0.585176408290863 , circleloss[loss flair->t1:0.698004, loss t1->t1c:0.696705, loss t1c->t2:0.784431, loss t2->flair:0.689755, ], use_modality:[1, 0, 2, 3]
[19:21:35] Epoch 1/200, Iter 8/228,Total Loss 0.628722, Loss_seg 1.653194,fusecross:0.723801, fusedice:0.929393,spec_modal_loss:0.9752926826477051 , circleloss[loss flair->t1:0.633566, loss t1->t1c:0.607631, loss t1c->t2:0.679849, loss t2->flair:0.628722, ], use_modality:[3, 2, 1, 0]
[19:21:36] Epoch 1/200, Iter 9/228,Total Loss 0.617115, Loss_seg 1.715232,fusecross:0.720482, fusedice:0.994750,spec_modal_loss:1.1659846305847168 , circleloss[loss flair->t1:0.627646, loss t1->t1c:0.598113, loss t1c->t2:0.677461, loss t2->flair:0.617115, ], use_modality:[0, 2, 1, 3]
[19:21:36] Epoch 1/200, Iter 10/228,Total Loss 0.609177, Loss_seg 1.687115,fusecross:0.722095, fusedice:0.965020,spec_modal_loss:0.7970544099807739 , circleloss[loss flair->t1:0.610684, loss t1->t1c:0.590714, loss t1c->t2:0.662561, loss t2->flair:0.609177, ], use_modality:[2, 3, 0, 1]
[19:21:36] Epoch 1/200, Iter 11/228,Total Loss 0.646363, Loss_seg 1.675544,fusecross:0.719285, fusedice:0.956259,spec_modal_loss:1.0998865365982056 , circleloss[loss flair->t1:0.634229, loss t1->t1c:0.635334, loss t1c->t2:0.732795, loss t2->flair:0.646363, ], use_modality:[1, 2, 0, 3]
[19:21:37] Epoch 1/200, Iter 12/228,Total Loss 0.642763, Loss_seg 1.698344,fusecross:0.719442, fusedice:0.978903,spec_modal_loss:1.42588472366333 , circleloss[loss flair->t1:0.648478, loss t1->t1c:0.647459, loss t1c->t2:0.729171, loss t2->flair:0.642763, ], use_modality:[0, 1, 2, 3]
