[19:23:09] second args = Namespace(datapath='/devdata/hsh/datasets/seg_dataset/BraTS2018_remove0_normalize_nii_resize128/MICCAI_BraTS_2018_Data_Training', train_list='datalist/BraTS18/BraTS18_train.txt', val_list='datalist/BraTS18/BraTS18_val.txt', snapshot_dir='/devdata2/hsh/program/python/methods/CRLS-series/contrast-CLRS-release/results/BraTS2018_resize128/CLRSNet/20251004-192309__run_times1_alpha0.1_beta0.1__BraTS2018_resize128_CLRSNet', method_name='CLRSNet', dataname='BRATS2018', input_size=[128, 128, 128], num_gpus='0', local_rank=0, print_rank=0, batch_size=1, batch_size_val=1, num_workers=4, num_cls=3, num_modality=4, normalization='batchnorm', spec_normalization='batchnorm', coe_specloss=0.1, coe_consist=0.1, optim='sgd', lr_scheduler='PolyLR', learning_rate_fate=0.01, lr=0.0002, weight_decay=0.0001, num_epochs=200, iter_per_epoch=None, aux=Namespace(optim='adam', lr_scheduler='PolyLR', learning_rate_fate=0.01, lr=0.0001, weight_decay=0.0001, num_epochs=200, iter_per_epoch=None, normalization='IN'), region_fusion_start_epoch=0, resume=None, pretrain=None, seed=1024, ignore_label=255, is_training=True, random_mirror=True, random_scale=True, norm_cfg='BN', activation_cfg='LeakyReLU', train_only=False, mode='random')
[19:23:09] second cfg = {'datapath': '/devdata/hsh/datasets/seg_dataset/BraTS2018_remove0_normalize_nii_resize128/MICCAI_BraTS_2018_Data_Training', 'train_list': 'datalist/BraTS18/BraTS18_train.txt', 'val_list': 'datalist/BraTS18/BraTS18_val.txt', 'snapshot_dir': '/devdata2/hsh/program/python/methods/CRLS-series/contrast-CLRS-release/results/BraTS2018_resize128/CLRSNet/20251004-192309__run_times1_alpha0.1_beta0.1__BraTS2018_resize128_CLRSNet', 'method_name': 'CLRSNet', 'dataname': 'BRATS2018', 'input_size': [128, 128, 128], 'num_gpus': None, 'local_rank': 0, 'print_rank': 0, 'batch_size': 1, 'batch_size_val': 1, 'num_workers': 0, 'num_cls': 3, 'num_modality': 4, 'normalization': 'batchnorm', 'spec_normalization': 'batchnorm', 'coe_specloss': 0.1, 'coe_consist': 0.1, 'optim': 'sgd', 'lr_scheduler': 'PolyLR', 'learning_rate_fate': 0.01, 'lr': 0.0002, 'weight_decay': 0.0001, 'num_epochs': 200, 'iter_per_epoch': None, 'aux': {'optim': 'adam', 'lr_scheduler': 'PolyLR', 'learning_rate_fate': 0.01, 'lr': 0.0001, 'weight_decay': 0.0001, 'num_epochs': 200, 'iter_per_epoch': None, 'normalization': 'IN'}, 'region_fusion_start_epoch': 0, 'resume': None, 'pretrain': None, 'seed': 1024, 'ignore_label': 255, 'is_training': True, 'random_mirror': True, 'random_scale': True, 'norm_cfg': 'BN', 'activation_cfg': 'LeakyReLU', 'train_only': False, 'mode': 'random'}
[19:23:10] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x7d8d29085e10>
[19:23:10] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x7d8d29086a70>
[19:23:10] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x7d8d29087520>
[19:23:10] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x7d8d294bc040>
[19:23:10] lr_scheduler 1=<torch.optim.lr_scheduler.LambdaLR object at 0x7d8d294bcb80>
[19:23:10] #############training############
[19:23:12] Epoch 1/200, Iter 1/228,Total Loss 0.824419, Loss_seg 1.686685,fusecross:0.725941, fusedice:0.960744,spec_modal_loss:1.2106027603149414 , circleloss[loss flair->t1:0.797097, loss t1->t1c:0.783651, loss t1c->t2:0.896717, loss t2->flair:0.824419, ], use_modality:[0, 2, 3, 1]
[19:23:12] Epoch 1/200, Iter 2/228,Total Loss 0.793119, Loss_seg 1.700245,fusecross:0.725245, fusedice:0.975000,spec_modal_loss:0.9910985231399536 , circleloss[loss flair->t1:0.749533, loss t1->t1c:0.743322, loss t1c->t2:0.855311, loss t2->flair:0.793119, ], use_modality:[0, 1, 3, 2]
[19:23:13] Epoch 1/200, Iter 3/228,Total Loss 0.759614, Loss_seg 1.652810,fusecross:0.724612, fusedice:0.928197,spec_modal_loss:1.163595199584961 , circleloss[loss flair->t1:0.757470, loss t1->t1c:0.752962, loss t1c->t2:0.835764, loss t2->flair:0.759614, ], use_modality:[3, 0, 2, 1]
[19:23:13] Epoch 1/200, Iter 4/228,Total Loss 0.745050, Loss_seg 1.678344,fusecross:0.726041, fusedice:0.952302,spec_modal_loss:0.9341267347335815 , circleloss[loss flair->t1:0.733316, loss t1->t1c:0.732856, loss t1c->t2:0.821753, loss t2->flair:0.745050, ], use_modality:[2, 0, 3, 1]
[19:23:13] Epoch 1/200, Iter 5/228,Total Loss 0.719507, Loss_seg 1.699080,fusecross:0.723126, fusedice:0.975954,spec_modal_loss:1.4129393100738525 , circleloss[loss flair->t1:0.715310, loss t1->t1c:0.717121, loss t1c->t2:0.803850, loss t2->flair:0.719507, ], use_modality:[2, 3, 1, 0]
[19:23:13] Epoch 1/200, Iter 6/228,Total Loss 0.707220, Loss_seg 1.715339,fusecross:0.720861, fusedice:0.994478,spec_modal_loss:0.9235451221466064 , circleloss[loss flair->t1:0.710082, loss t1->t1c:0.699417, loss t1c->t2:0.793827, loss t2->flair:0.707220, ], use_modality:[3, 1, 0, 2]
[19:23:14] Epoch 1/200, Iter 7/228,Total Loss 0.694079, Loss_seg 1.691617,fusecross:0.720948, fusedice:0.970669,spec_modal_loss:0.5852948427200317 , circleloss[loss flair->t1:0.699080, loss t1->t1c:0.693390, loss t1c->t2:0.787557, loss t2->flair:0.694079, ], use_modality:[1, 0, 2, 3]
[19:23:15] Epoch 1/200, Iter 8/228,Total Loss 0.622470, Loss_seg 1.654086,fusecross:0.724029, fusedice:0.930057,spec_modal_loss:0.975130021572113 , circleloss[loss flair->t1:0.633642, loss t1->t1c:0.609622, loss t1c->t2:0.688536, loss t2->flair:0.622470, ], use_modality:[3, 2, 1, 0]
[19:23:15] Epoch 1/200, Iter 9/228,Total Loss 0.620690, Loss_seg 1.714095,fusecross:0.719340, fusedice:0.994755,spec_modal_loss:1.1649441719055176 , circleloss[loss flair->t1:0.626593, loss t1->t1c:0.597735, loss t1c->t2:0.675904, loss t2->flair:0.620690, ], use_modality:[0, 2, 1, 3]
[19:23:15] Epoch 1/200, Iter 10/228,Total Loss 0.605908, Loss_seg 1.686983,fusecross:0.721474, fusedice:0.965510,spec_modal_loss:0.7968171834945679 , circleloss[loss flair->t1:0.609517, loss t1->t1c:0.586112, loss t1c->t2:0.658871, loss t2->flair:0.605908, ], use_modality:[2, 3, 0, 1]
[19:23:15] Epoch 1/200, Iter 11/228,Total Loss 0.651839, Loss_seg 1.675434,fusecross:0.718765, fusedice:0.956670,spec_modal_loss:1.0996160507202148 , circleloss[loss flair->t1:0.635336, loss t1->t1c:0.631084, loss t1c->t2:0.732230, loss t2->flair:0.651839, ], use_modality:[1, 2, 0, 3]
[19:23:16] Epoch 1/200, Iter 12/228,Total Loss 0.641999, Loss_seg 1.696741,fusecross:0.717953, fusedice:0.978789,spec_modal_loss:1.4258880615234375 , circleloss[loss flair->t1:0.646761, loss t1->t1c:0.642007, loss t1c->t2:0.729152, loss t2->flair:0.641999, ], use_modality:[0, 1, 2, 3]
